track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,decade
Adeus - Live for the ladies,Monte La Rue,spotify:track:1KY1GRp3hG8ZZwC4oksowW,0.517,0.674,1,-8.812,1,0.101,0.291,0.0529,0.109,0.384,99.048,261085,4,38.41511,10,0,2010
Devil's Level,Dwarves,spotify:track:41V7zzHTrNqxEk6FAcK25B,0.344,0.989,2,-3.128,1,0.162,0.000933,3.95e-06,0.0795,0.0856,104.334,109992,4,38.83482,5,0,2010
Clandestine Ways (Krokodil Rot),Cattle Decapitation,spotify:track:1yCaiVPhBDnLYY9h5rCL7P,0.301,0.97,8,-3.548,1,0.142,5.23e-05,0.715,0.595,0.211,119.871,274293,4,54.85373,11,0,2010
Stiff Jazz,Dzihan & Kamien,spotify:track:6jRp7oEgxBW7xRMKruYfcD,0.754,0.852,7,-8.123,1,0.0598,0.0995,0.849,0.0661,0.604,101.673,350788,4,58.66837,13,0,2010
Nervous Acid,Bobby Konders,spotify:track:60nOSJvQcCm11cj6bWX561,0.633,0.789,1,-10.482,1,0.038,0.00554,0.808,0.107,0.228,123.233,300853,4,20.97291,16,0,2010
Near,Deafheaven,spotify:track:2nznScQCuL4r9OKMr4A7qc,0.296,0.48,0,-9.685,1,0.0281,0.166,0.934,0.112,0.157,133.509,328643,4,27.26951,10,0,2010
Red Wall & Black Wall,Wang Wen,spotify:track:0GU7lJqHfM1ixNMZp4lRC0,0.566,0.59,0,-12.539,1,0.0251,0.23,0.816,0.109,0.211,99.004,474063,3,60.59858,17,0,2010
Garden,Roger Eno,spotify:track:7jBR7pjJR7R7H6nxensdE4,0.242,0.00281,7,-28.003,0,0.0543,0.992,0.85,0.129,0.0374,73.102,207364,3,46.60441,10,0,2010
Everything Dub,Khotin,spotify:track:2iEY7wt5j6A3Y6zg0KePmY,0.769,0.61,0,-11.32,1,0.128,0.51,0.957,0.382,0.691,116.838,406290,4,38.99528,20,0,2010
Sitting on the Roof of S.F.A.I.,Wes Leslie,spotify:track:7HtmYWIFq3WgO5onOaFrAp,0.685,0.305,5,-9.389,1,0.0268,0.796,0.00533,0.103,0.385,96.18,207000,4,48.54878,9,0,2010
"Gottes Zeit ist die allerbeste Zeit, BWV 106 (Arr. G. Kurtag for Piano Duo)",György Kurtág,spotify:track:5FHDGoO8MF9txy89VczxfY,0.533,0.00805,3,-34.339,1,0.0397,0.995,0.92,0.0726,0.0679,69.354,150093,4,53.94683,6,0,2010
Midnight Blues,Joe Bonamassa,spotify:track:42eYrx1d5RFbEULbwZo7w2,0.214,0.475,0,-6.623,0,0.0387,0.361,0.111,0.849,0.383,74.127,469760,4,41.77962,22,0,2010
Thisishispit,Winterwolf,spotify:track:3gVeBxpLXQyuv4tEaHigIQ,0.121,0.932,6,-9.368,1,0.0766,1.69e-05,0.798,0.654,0.205,171.909,238903,4,55.56422,8,0,2010
"Glass: Truman Sleeps (From ""The Truman Show"")",Philip Glass,spotify:track:2fwzsUkquSIHQbBjrayijJ,0.416,0.0937,5,-18.928,0,0.0336,0.951,0.948,0.106,0.0967,134.468,99533,4,69.7431,3,0,2010
Haunt Your House,Dan Andriano in the Emergency Room,spotify:track:1QEcl3dTtRLyw68xV4UDRn,0.398,0.956,1,-3.33,0,0.0618,0.00372,0.00321,0.0706,0.574,86.05,236736,4,28.26048,9,0,2010
Tu Meri Ki Lagdi,Navv Inder,spotify:track:7yl1lvePCTJuxa1v31fRK2,0.532,0.617,1,-8.409,0,0.0508,0.105,0.0,0.175,0.246,90.086,183883,4,45.70233,8,0,2010
Make Me Move,Culture Code,spotify:track:4DHRbvvQyC3mBa3Y0JNl4n,0.541,0.65,8,-4.665,0,0.0414,0.211,0.000128,0.1,0.356,95.019,197053,4,47.69852,7,0,2010
Sentimental X's,Broken Social Scene,spotify:track:6Zp2CzhzAbhSqtjrxBTG7y,0.62,0.539,6,-11.044,1,0.0387,0.0244,0.692,0.109,0.396,149.92,340427,4,23.24009,14,0,2010
Autre temps,Alcest,spotify:track:38cEFxU4h05Aa0BgzWrNyy,0.24,0.548,1,-8.378,0,0.0324,0.00609,0.875,0.0941,0.127,127.342,350320,4,59.09059,14,0,2010
Roll The Bones - Audiotree Live Version,Shakey Graves,spotify:track:1Yxbxg5R6dQcYmOdjvlXP0,0.597,0.549,1,-10.253,1,0.0586,0.651,1.47e-05,0.0991,0.204,122.801,291596,4,31.94497,16,0,2010
Mi Último Deseo,Banda Los Recoditos,spotify:track:01ksPzu3Bw8Lsf9o6xIk8C,0.844,0.639,11,-4.461,0,0.0437,0.62,0.0,0.46,0.974,121.033,163560,3,54.26862,8,0,2010
Small and Simple,The Okee Dokee Brothers,spotify:track:2LR3q0QHOsuvxqcoyPd7XB,0.684,0.131,1,-16.962,0,0.0511,0.638,0.00668,0.101,0.311,96.345,87387,4,32.05812,4,0,2010
Reza,Cal Tjader,spotify:track:4EpucAOoGXgSW5HScC8V1F,0.549,0.261,11,-21.898,0,0.0731,0.886,0.938,0.13,0.129,155.491,244053,4,40.67876,12,0,2010
Shapes,Joey Trap,spotify:track:4O4ZIabUVwELSYfHdRQhRv,0.815,0.481,8,-7.178,1,0.399,0.0583,0.0,0.171,0.6,169.946,128802,4,24.03753,4,0,2010
Leaving Here,Echoing Angels,spotify:track:0CZf2rmN6sxRAPcwlWHvXq,0.503,0.842,4,-3.827,1,0.0408,0.0101,0.0,0.607,0.475,106.949,266016,4,37.06359,12,0,2010
Flight Of The Silverbird,Two Steps from Hell,spotify:track:2k2Pwkt3Fqowcve91PiH4g,0.415,0.922,5,-7.043,1,0.0819,0.00182,0.854,0.0888,0.226,138.086,201793,4,16.85492,10,0,2010
Sunny Ambient,Tomasz Bednarczyk,spotify:track:23Pc6pK9bKqGycs17AdPaT,0.0853,0.378,11,-17.318,1,0.0454,0.787,0.918,0.103,0.0638,75.084,330000,4,13.15085,20,0,2010
Time (Ambient),The American Dollar,spotify:track:07v4QVDM4ADCwCdkqd7Vti,0.107,0.226,0,-14.697,0,0.0357,0.965,0.915,0.12,0.0368,71.851,312038,4,30.36169,13,0,2010
Lone Town - VIP Mix,Blunt Instrument,spotify:track:6YSoAgffX9S3knLSpIo60n,0.714,0.948,7,-6.455,1,0.0682,0.000838,0.837,0.524,0.559,99.979,249598,4,39.61257,11,0,2010
Island of the Honest Man,Hot Hot Heat,spotify:track:1hVPxNsx6lVb0YordwO7gU,0.353,0.914,4,-2.105,1,0.0745,0.00177,0.342,0.204,0.449,146.397,182133,4,53.5463,9,0,2010
Telegram,Alexandre Desplat,spotify:track:46Ag1jvrDkJBeNalEKRIrV,0.3,0.31,5,-15.589,1,0.0418,0.924,0.891,0.0835,0.103,207.111,109827,3,66.61045,4,0,2010
Kenke Corner,Guts,spotify:track:7DSe9aWkpnbDQTTRikkpYp,0.823,0.648,1,-10.107,0,0.045,0.0403,0.767,0.174,0.962,124.015,386893,4,27.1154,18,0,2010
Die Young,Max Frost,spotify:track:7qKX7wI4RK7hMYwJg6zRDE,0.855,0.395,11,-8.84,0,0.0604,0.229,0.00073,0.352,0.375,103.958,187853,4,70.78136,7,0,2010
Ma Lo,Tiwa Savage,spotify:track:6U9jxxdQ6TNzjshIpwWMTf,0.788,0.721,11,-4.577,1,0.152,0.424,2.86e-06,0.0897,0.653,105.23,182857,4,48.87935,9,0,2010
Protector of the Common Folk,Howard Shore,spotify:track:3wlVdDCUCO1SS3xND0pBBc,0.196,0.0765,0,-22.721,0,0.038,0.904,0.805,0.111,0.0381,111.672,215065,4,47.23415,11,0,2010
¿Por Qué Cambiaste De Opinión?,Calibre 50,spotify:track:1j8gLQNfFOI0vs8qcVTWwa,0.735,0.49,5,-4.937,1,0.0299,0.446,3.52e-06,0.129,0.89,135.159,241907,4,44.16903,12,0,2010
Do or Die,Bloodgood,spotify:track:3tetPgK90dRsEwnKZ5LtlK,0.614,0.905,11,-4.597,1,0.0305,0.000319,8.4e-06,0.229,0.745,116.309,143440,4,54.45597,7,0,2010
Coretta's Beat,Marc Mac,spotify:track:3xWgEIGat6IVLUZWN2aUbQ,0.662,0.594,6,-6.386,0,0.11,0.0037,0.965,0.308,0.96,179.972,141173,4,22.87039,9,0,2010
I Wanna Die,Harley Poe,spotify:track:1wQDdCFGWzljnTvKdhoNpA,0.345,0.714,0,-5.48,1,0.0566,0.296,0.0,0.127,0.524,178.522,215079,4,43.9041,11,0,2010
In the Trenches,Dying Fetus,spotify:track:36YSMRcddGQIFBuYnvZOMv,0.298,0.946,6,-5.62,0,0.0733,0.00167,0.0628,0.349,0.628,103.329,224480,4,54.13061,8,0,2010
Death Was Arrested,North Point Worship,spotify:track:7eBybNhcjCylloMZT2QjQE,0.28,0.737,11,-3.938,1,0.0414,0.038,0.0,0.124,0.155,155.884,293331,3,80.464,10,0,2010
Blood on Your Name,Emerald Sun,spotify:track:4WpUylY7ouC8xsa8dKxL0C,0.413,0.931,7,-1.889,0,0.0766,0.000691,1.36e-05,0.141,0.4,162.866,301575,4,52.2594,11,0,2010
Roots Bloody Roots,Sepultura,spotify:track:2hHiLL5tBuAJIOpO7fQYHX,0.428,0.874,4,-6.664,0,0.128,0.000337,0.0419,0.311,0.261,119.708,212253,4,44.39969,11,0,2010
Metal Gods - Live from Battle Cry,Judas Priest,spotify:track:5K7htogsrZexso8RB1z0U7,0.378,0.891,10,-4.735,1,0.0428,1.03e-05,0.0136,0.777,0.14,96.105,253867,4,48.45906,11,0,2010
Green Karma - Original Mix,Cabaret Nocturne,spotify:track:7AyLMeNJuYqYaxVHYfTqJM,0.789,0.803,7,-8.027,1,0.0402,0.313,0.862,0.138,0.48,117.009,339750,4,66.58938,12,0,2010
Down,Living Death,spotify:track:7gLn7uwuJ0oYELDZcOxzH3,0.488,0.858,11,-10.148,0,0.0377,0.00878,1.29e-05,0.299,0.293,94.668,272787,4,18.98583,13,0,2010
Serotonin,In Her Own Words,spotify:track:7JeIpiCXappsI31Mg4BcWz,0.376,0.945,1,-4.917,0,0.185,6.06e-05,0.0,0.14,0.387,188.052,210750,4,41.22986,11,0,2010
Turncoat,Goldmund,spotify:track:6i0nz16kHbPINYReFwTh38,0.2,0.0649,4,-22.703,0,0.0328,0.958,0.833,0.036,0.0369,81.259,207449,4,57.765,9,0,2010
The Christmas Song,The Raveonettes,spotify:track:7EEH0cAtDCAe5xgAyQ8tuT,0.611,0.843,11,-4.624,1,0.0294,0.0267,8.33e-05,0.127,0.585,106.348,132600,4,25.48346,9,0,2010
Genesis,Grimes,spotify:track:4sCYKMatyhazyy6r2N7Hp2,0.611,0.677,10,-6.745,0,0.034,0.0764,0.0698,0.241,0.233,166.04,255320,4,30.57764,11,0,2010
Hardcore for Hardcore,The Rival Mob,spotify:track:4BANvCnm8UeYQcvYjzaBch,0.248,0.967,9,-8.133,1,0.0647,4.76e-05,0.904,0.333,0.282,135.263,108880,3,58.64773,4,0,2010
Octopus Bangbang - Original Mix,Splatinum,spotify:track:5Nh1KiIRgQUo2X2oRoFx0I,0.77,0.834,7,-5.005,1,0.0796,0.00158,0.0531,0.217,0.841,107.98,293627,4,38.03189,13,0,2010
Party Of A Lifetime - Original Mix,Crazy Daylight,spotify:track:5NKMYl0Qsnf4RHv6DD5GZj,0.826,0.634,2,-5.228,1,0.0528,0.00228,0.00122,0.0825,0.507,105.015,267962,4,30.86762,9,0,2010
A New Color,Astronoid,spotify:track:75fyLhgEilq8T2MMdkm18E,0.316,0.977,3,-6.833,1,0.107,1.4e-05,0.905,0.173,0.116,160.032,321373,4,36.37115,11,0,2010
For Metal,Arkham Witch,spotify:track:1WKdv0TessM45gWc1TVZnU,0.268,0.95,4,-4.793,1,0.11,0.000104,0.088,0.0645,0.422,202.873,319307,4,29.88652,15,0,2010
Dance with Me,LZ7,spotify:track:6exUpfnLDBxAtFBoHheWAV,0.603,0.833,9,-7.294,1,0.246,0.131,0.0,0.356,0.708,72.501,204844,4,27.64285,10,0,2010
Pierced from Within,Suffocation,spotify:track:2LU1IwUiwbOGoBEBGghOp0,0.324,0.837,10,-10.142,0,0.101,1.83e-06,0.944,0.0882,0.635,103.928,265893,4,59.27881,9,0,2010
We've Lost You - Live,Sepultura,spotify:track:6C8XTcbobqkt7lOf5tCc56,0.401,0.978,6,-6.26,1,0.114,0.000324,0.348,0.973,0.0426,126.991,261693,4,26.86729,7,0,2010
Méditation grisâtre,Nocturnal Depression,spotify:track:3oDxsK0LIul2NCoa9zslXl,0.246,0.683,7,-4.458,0,0.0469,0.000211,0.488,0.085,0.126,128.035,455837,4,67.41279,14,0,2010
Rutter: Requiem: III. Pie Jesu,John Rutter,spotify:track:1B4wMxkP9XSGKgyNBf8hFK,0.0769,0.0484,5,-26.768,1,0.0407,0.97,0.116,0.0825,0.0398,77.177,215867,4,45.41805,13,0,2010
Red Bull & Hennessy,Jenny Lewis,spotify:track:3rrzbjHWFyKcCpagbbFjrE,0.509,0.933,4,-5.633,0,0.099,0.00203,0.000138,0.196,0.374,130.005,288630,4,83.83607,9,0,2010
"Till The End - From ""Me Before You""",Jessie Ware,spotify:track:4wuKfMYt9XIDiGCIfloBRR,0.662,0.395,4,-10.694,1,0.0593,0.766,0.00594,0.125,0.534,73.012,180560,4,42.15589,8,0,2010
Victorius,Archipel,spotify:track:0B7wAoTn9bhn2GbUXwxa5s,0.611,0.627,9,-8.923,1,0.0342,0.141,0.00569,0.208,0.208,95.998,292780,4,61.01776,10,0,2010
The Story of Hip Hop,The Books,spotify:track:7HdApXuBEaGWgOVi8XHlnX,0.793,0.594,7,-8.508,1,0.122,0.286,0.00375,0.188,0.453,95.864,270173,4,29.92433,11,0,2010
The Metal Man,James Ruskin,spotify:track:6GyLkcW0tXISsxpzoZIAYh,0.782,0.445,7,-12.574,1,0.0754,0.146,0.934,0.114,0.113,126.015,344880,4,77.26727,14,0,2010
Frog and Toad Are Friends,Armand Hammer,spotify:track:003I0c4UcwPtqOp3rW7Dv7,0.67,0.918,10,-6.318,0,0.37,0.0127,0.0,0.872,0.678,159.803,251947,4,42.73762,10,0,2010
So Close - Club Mix,Kidnap,spotify:track:2wlRpTxW3beqaFvEMxoOAy,0.804,0.792,1,-5.878,0,0.0475,0.00114,0.753,0.0472,0.371,124.001,345207,4,60.7462,16,0,2010
Bury Me,Getter,spotify:track:7m1oRKYiZCfuKXRMWGefWR,0.735,0.933,1,-2.151,0,0.0788,0.0185,0.0108,0.1,0.116,129.988,281538,4,74.78952,7,0,2010
Roots Rock Jabali,TootArd,spotify:track:7ve8LfZjy00eNwrwZ4pLVO,0.731,0.61,5,-9.394,0,0.034,0.15,0.124,0.135,0.862,98.031,245733,4,22.04892,12,0,2010
Dance Monkey (Metal Version),Leo,spotify:track:52MqpL45EQxIPD2VzJ7avI,0.591,0.833,4,-4.526,0,0.0529,0.0197,0.000193,0.0582,0.435,100.05,267900,4,27.91464,12,0,2010
Hate Me,Eurielle,spotify:track:4oEL2E7VLBNTqJg8p6YSpn,0.22,0.13,0,-15.086,0,0.0357,0.842,0.00155,0.0987,0.125,135.872,311667,4,43.07957,12,0,2010
In The End,Anime,spotify:track:47RdxOp686m51Z8QWf5DHp,0.433,0.96,4,-1.991,0,0.113,0.00399,0.0352,0.075,0.078,174.012,201724,4,30.70863,10,0,2010
Atlas: Two,Sleeping At Last,spotify:track:6qWfB1QABjGnaO6mrn9iBF,0.384,0.325,4,-9.485,1,0.0398,0.902,6.74e-06,0.361,0.274,132.801,260429,4,23.01897,9,0,2010
Punk Off Pleasant,Rule 22,spotify:track:38m9Ho9kU8F8Cvhn4oS3W3,0.34,0.717,2,-15.982,1,0.0757,0.00726,7.57e-06,0.0653,0.593,116.667,201787,4,38.13859,9,0,2010
Barrow-downs,Summoning,spotify:track:0jExrisy6Ky7FByFUiPLmX,0.465,0.868,1,-9.973,0,0.0338,0.0459,0.973,0.144,0.252,80.027,167627,3,55.517,9,0,2010
Leaving Earth,Clint Mansell,spotify:track:1ZUwoCWz8rJqzBTwtdscPN,0.276,0.289,4,-14.322,0,0.0339,0.662,0.982,0.0963,0.0805,39.369,123720,4,0.0,2,0,2010
Sympathy for the Devil,The KVB,spotify:track:5Yk7mjm17WEeqwZiOeKSEU,0.136,0.732,9,-6.291,1,0.0415,0.0334,0.962,0.173,0.443,100.026,288703,4,53.87711,10,0,2010
Untitled,Jupiter Grains,spotify:track:3tCBeat5YZBwLf61yoQJ9v,0.209,0.0219,5,-25.95,1,0.0344,0.954,0.938,0.104,0.0358,78.336,112312,1,0.0,2,0,2010
World Music with Black Edges,Solefald,spotify:track:2V7v63lt9RzCqoheIzjB8V,0.465,0.964,1,-5.347,1,0.166,0.0257,0.000321,0.132,0.533,159.991,475099,4,37.23934,28,0,2010
Julep,Punch Brothers,spotify:track:5a4ZTEMp6wULHTEzJclKxt,0.675,0.219,11,-13.546,0,0.0311,0.897,0.103,0.0979,0.313,105.921,326493,4,47.23998,15,0,2010
Protectors of the Earth,Thomas Bergersen,spotify:track:1YtHpYEbbfQQIyxXkdxEoW,0.441,0.934,7,-6.766,0,0.0482,0.0395,0.96,0.15,0.374,109.98,169715,3,40.03481,9,0,2010
Maimed to Beg,Cerebral Fix,spotify:track:3Cug9f7ntU6bAYDa84vsaX,0.168,0.853,4,-10.384,1,0.0562,6.03e-06,0.374,0.376,0.564,81.607,179400,4,60.50276,5,0,2010
Dil Ki Hai Tamanna,Vijay Prakash,spotify:track:103mJr1oXxLGqeaoGsDo8G,0.639,0.559,7,-7.475,1,0.0427,0.057,8e-06,0.129,0.597,85.939,331558,4,23.01682,16,0,2010
"It's Been A Long, Long Time",Jackie Gleason,spotify:track:5Wj7TGu1qO4W5KpmNA0HcP,0.267,0.074,7,-20.313,1,0.0356,0.914,0.9,0.209,0.149,137.732,212173,4,61.56717,12,0,2010
Hardcore Power,Haus of Panda,spotify:track:7MhdEgFZYE31pqOFnOVXIc,0.612,0.901,6,-4.455,0,0.0582,0.0089,0.56,0.0297,0.472,144.99,218483,4,39.75483,9,0,2010
3D Dream - World Mix,Jerry Paper,spotify:track:66HSEaHk2uANQxaEqXasvu,0.776,0.504,11,-12.052,0,0.0473,0.191,0.108,0.724,0.888,92.291,219293,4,18.33128,10,0,2010
Stay,Zedd,spotify:track:2fqHpnhBxkjHxHdpGphPze,0.691,0.562,5,-6.837,0,0.0682,0.251,0.0,0.113,0.55,101.999,211640,4,28.88442,11,0,2010
Cumbres Del Ajusco,Mexico City Atmospheres,spotify:track:65BziyHWyQzCr03AbGD5zC,0.0998,0.247,0,-18.888,1,0.0419,0.771,0.925,0.114,0.0474,77.94,250968,4,30.40217,11,0,2010
Tus Jefes No Me Quieren,Grupo Ensamble,spotify:track:16OHjORdq0UoVilD02ZzXN,0.637,0.547,3,-8.43,0,0.097,0.174,1.68e-05,0.107,0.963,180.054,224256,4,27.26188,11,0,2010
sekao,Delayde,spotify:track:4c2TiYoJHIjEPZ5syRZhsY,0.616,0.375,5,-16.921,1,0.0405,0.905,0.896,0.332,0.333,159.972,132000,4,33.38382,6,0,2010
You Can't Sexy Dance to Punk Rock,The Riot Before,spotify:track:5OnRWKg8trtIel1ZFYY0Zj,0.52,0.786,7,-7.784,1,0.137,0.00253,0.0,0.398,0.354,154.697,219960,4,59.17249,8,0,2010
The Spider's Lullabye,King Diamond,spotify:track:0HhKjv7pzDnoOGWDt1LN3L,0.508,0.665,2,-7.097,1,0.0329,0.0246,0.00157,0.095,0.0602,117.771,220733,4,41.11731,8,0,2010
Incubations,Roland Mercier,spotify:track:1uO9ZJFzDuwQ2XzmHt5TmN,0.194,0.0388,2,-28.622,0,0.0421,0.987,0.761,0.104,0.0952,83.457,189000,1,25.01347,9,0,2010
Fly Away,Vincent de Moor,spotify:track:3JoxlJ95GVxngQSY7V4yfR,0.643,0.941,5,-6.447,0,0.0433,0.00882,0.00443,0.356,0.56,137.985,201760,4,22.16097,10,0,2010
We All Float Down Here,Four Year Strong,spotify:track:44RrOIa9ziCFW9YC6ndAUL,0.522,0.996,10,-4.316,0,0.186,0.000116,1.05e-05,0.252,0.138,96.477,187561,4,116.92108,4,0,2010
Screaming from a Chamber - Live,Living Death,spotify:track:6lH6bphGsSEwnz6YXHMVcT,0.302,0.878,1,-10.617,0,0.0881,0.0109,5.28e-05,0.97,0.18,138.927,396040,4,41.32872,18,0,2010
Flying Spaghetti Monster,Doctor P,spotify:track:4uWUyC3hNH036n6sGCWggZ,0.665,0.913,1,-2.299,1,0.0461,0.000148,0.412,0.384,0.439,100.005,249600,4,58.02977,9,0,2010
The Tenth Part Of A Featured World,Eli Keszler,spotify:track:31RSzu8ioWsB65zqcGsGje,0.413,0.272,0,-20.033,0,0.0577,0.769,0.685,0.15,0.0378,104.317,290000,4,40.86704,10,0,2010
Awake,Tycho,spotify:track:2qC1sUo8xxRRqYsaYEdDuZ,0.552,0.878,1,-5.767,1,0.0353,0.0585,0.892,0.0746,0.598,176.057,283636,4,22.49876,13,0,2010
Visages VII Inner World,Michael Vincent Waller,spotify:track:3elM22wfMjnTkmLbKoAagW,0.298,0.0908,10,-22.842,0,0.0369,0.993,0.881,0.113,0.0557,131.653,273453,4,61.95695,14,0,2010
I Feel Alright (1970) - Mono Single Edit,The Stooges,spotify:track:35dFj2bep4AneEz3Gc5HVa,0.39,0.926,4,-5.857,0,0.0342,0.0242,0.0295,0.432,0.875,112.099,198533,4,30.79811,9,0,2010
Let Us Fly,Love Sees No Color,spotify:track:42E1xWvGTnarGGmd8iaCfB,0.487,0.915,7,-5.413,1,0.0331,0.000278,1.4e-05,0.372,0.548,93.966,206005,4,21.52767,10,0,2010
Amen & Attack - Live,Powerwolf,spotify:track:5jvN5DBtc1tkQdKEMqbFQX,0.398,0.937,6,-4.507,1,0.155,0.000541,6.2e-06,0.386,0.207,98.004,291387,4,20.50179,9,0,2010
Thinking Of You,George FitzGerald,spotify:track:2YhX2w40YJm26IKdC7Xlmp,0.727,0.832,0,-6.308,0,0.0662,0.0414,0.804,0.0314,0.747,122.99,319804,4,62.1128,11,0,2010
I'm Yours (Instrumental Version),Matt Carlson,spotify:track:6H5DRQ3dbA2yoq7oHjQ5CU,0.524,0.175,0,-11.789,1,0.0568,0.92,0.858,0.0667,0.668,158.472,177000,4,53.65695,9,0,2010
Screamers in the Storm,Emerald Sun,spotify:track:7gLvcxqqd81DAeMFxRvNOB,0.337,0.943,10,-1.634,0,0.0609,0.000436,0.000584,0.0395,0.297,175.953,315809,4,44.75544,15,0,2010
Feeling Punk - Tee's Original Mix,Todd Terry,spotify:track:5DKyo9RhH2PNDjZbowvlYw,0.775,0.928,11,-6.776,1,0.0553,0.00286,0.881,0.387,0.523,126.617,337441,4,61.15368,10,0,2010
This Beat,Agent K,spotify:track:0ET8diViBcXDcCz6bVw2mK,0.814,0.725,1,-9.505,1,0.19,0.00204,0.0961,0.183,0.304,129.971,214154,4,30.47626,6,0,2010
Your Disposal,Cattle Decapitation,spotify:track:3FGzV0BJ4TqcKwBSOjH6xs,0.323,0.985,4,-4.413,1,0.205,2.42e-05,0.592,0.575,0.151,114.778,287307,4,52.85167,10,0,2010
Batalla Final,Dangerous,spotify:track:2sIY93yqF0Rin3CdCJxbOu,0.156,0.991,7,-4.497,1,0.209,1.61e-05,0.00136,0.232,0.175,180.684,208661,4,27.43521,13,0,2010
"French Ouverture, BWV 831",Johann Sebastian Bach,spotify:track:5CpjJKzNC8V9ZYyqXzKCPk,0.329,0.0689,2,-24.274,1,0.0425,0.984,0.0171,0.197,0.741,163.41,183760,4,49.78261,9,0,2010
Relentless Mutation,Archspire,spotify:track:0a5M9DltcncHl3DKErFmD3,0.52,0.909,6,-5.461,0,0.0544,0.00616,0.635,0.11,0.311,140.055,274598,4,42.24989,10,0,2010
Soft Night,Elskavon,spotify:track:5hAsWMGQXBjDjYMoIlP9Ak,0.249,0.00248,2,-30.501,1,0.036,0.994,0.931,0.118,0.0788,73.601,155250,4,34.96629,9,0,2010
Mr. Soul,Buffalo Springfield,spotify:track:4AUx6UCzD1gEsWLAApJQ2t,0.671,0.551,9,-12.996,1,0.0331,0.0951,9.17e-05,0.0438,0.962,134.788,171533,4,37.70989,7,0,2010
Black Horses Stampede,Textures,spotify:track:5KsywoGp7aAI99WtqSpsUu,0.421,0.927,8,-4.141,1,0.0604,0.000987,1.02e-05,0.11,0.362,125.944,236533,4,51.42567,10,0,2010
Deep Scars,3D Stas,spotify:track:6B16bj1Jh3oqdLwc7fS5Gl,0.517,0.982,8,-3.412,1,0.133,0.000119,0.0561,0.19,0.563,174.042,252919,4,22.42131,9,0,2010
For Those About To Rock,Godflesh,spotify:track:0bYKH9bJ8TXQC4UyVQd6PK,0.269,0.412,3,-10.768,0,0.0544,0.0347,0.902,0.127,0.188,109.806,329867,4,34.34836,8,0,2010
Tiamat's Eyes of Death,Deathchain,spotify:track:2Dfe7wvwH0REisq2Ooc9XK,0.38,0.95,6,-6.176,1,0.0724,5.68e-06,0.323,0.315,0.0956,107.605,389053,4,36.40949,18,0,2010
"Come Warfare, The Entire Doom",Darkthrone,spotify:track:2OWrhxgNvBgvb9RAmMTTm2,0.183,0.998,0,-3.673,1,0.195,6.68e-06,0.0016,0.0538,0.0389,136.832,517773,4,34.42092,25,0,2010
Got It Bad,LEISURE,spotify:track:2DKhE0CxWGYoYQxYYbLrjJ,0.793,0.468,11,-10.054,1,0.0408,0.00839,0.0786,0.0689,0.534,95.999,205602,4,36.86925,11,0,2010
Let Me Take You There (feat. Laura White) - Max Styler Chill Dub,Max Styler,spotify:track:60STZlsjPjvFNrHdRMNL0n,0.689,0.716,6,-7.399,1,0.0483,0.232,0.103,0.223,0.24,118.025,228814,4,18.30822,11,0,2010
Until the Day I Die,Story Of The Year,spotify:track:5AEJhgSz26vl7Ym3eKKZgY,0.597,0.931,11,-4.591,0,0.0984,0.127,0.0,0.0504,0.534,92.003,235200,4,26.76235,9,0,2010
Moonbeam,Jens Buchert,spotify:track:5wY6Vg1yQYqc2iezA5TNeh,0.694,0.7,2,-6.374,1,0.0329,0.0211,0.845,0.0802,0.532,99.986,309947,4,58.82551,11,0,2010
Binaural Beta Sinus Drone IIII,The Entrainment,spotify:track:57QUuHrWZz08HialRptMC4,0.169,0.00703,3,-33.925,1,0.0594,0.979,0.322,0.118,0.0269,136.396,214908,5,99.70231,6,0,2010
Wild World (Instrumental Version),Steve Petrunak,spotify:track:7sW084mlyHpyt4YYavTYvo,0.42,0.381,0,-9.341,1,0.0513,0.965,0.857,0.131,0.583,151.004,197230,4,36.34149,12,0,2010
Via Dolorosa,Scandinavian Metal Praise,spotify:track:475hsOmoB7RclzGuUjEumY,0.242,0.957,4,-2.19,0,0.123,0.00243,0.0,0.103,0.0814,106.991,251480,3,27.94478,11,0,2010
IN THE NAME OF,BABYMETAL,spotify:track:3wgBCEAT15oNbRw8NAr83h,0.487,0.978,9,-4.411,1,0.102,0.000163,0.771,0.149,0.0375,129.994,270626,4,79.27429,9,0,2010
Blues Don't Care,Buddy Guy,spotify:track:5fs3sNq3KK9jpbTNCf324m,0.371,0.941,4,-2.711,1,0.0779,0.0882,0.0373,0.0658,0.767,121.006,207000,4,21.49356,11,0,2010
Anthology (Daft Punk Tribute) (EFL092),OVERWERK,spotify:track:5rQNvwBagYhlgkHBvtgDAP,0.784,0.799,5,-6.7,0,0.065,0.00305,0.00138,0.419,0.613,128.871,193440,4,28.44461,12,0,2010
No Diggity,Nick Murphy / Chet Faker,spotify:track:2xD7RvKFJl52xyds3wQFXQ,0.574,0.764,2,-4.797,0,0.228,0.678,0.000974,0.116,0.473,160.044,221533,4,38.19013,8,0,2010
